City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Mangan,IN,2022-02-03 03:38:55,27.5167,88.5333,57.24,55,43,5.01
127,Half Moon Bay,US,2022-02-03 03:38:56,37.4636,-122.4286,57.38,57,0,0.0
128,Port Blair,IN,2022-02-03 03:38:56,11.6667,92.75,79.7,66,96,9.48
129,Sur,OM,2022-02-03 03:37:24,22.5667,59.5289,71.91,46,0,18.43
130,Verkhnevilyuysk,RU,2022-02-03 03:38:57,63.4453,120.3167,-16.67,95,100,4.94
131,Oriximina,BR,2022-02-03 03:38:57,-1.7656,-55.8661,74.97,88,90,2.15
132,Lebu,CL,2022-02-03 03:35:53,-37.6167,-73.65,58.17,95,66,8.1
133,Rudnogorsk,RU,2022-02-03 03:38:58,57.2639,103.7519,-2.13,95,98,2.26
134,Cabedelo,BR,2022-02-03 03:38:58,-6.9811,-34.8339,79.47,78,73,10.67
135,Provideniya,RU,2022-02-03 03:38:58,64.3833,-173.3,2.07,71,98,23.69
136,Ribeira Grande,PT,2022-02-03 03:38:59,38.5167,-28.7,58.93,70,16,3.27
137,Angoche,MZ,2022-02-03 03:38:59,-16.2325,39.9086,74.64,90,53,5.08
138,Itarantim,BR,2022-02-03 03:38:59,-15.6597,-40.0656,69.6,95,90,1.59
139,Poum,NC,2022-02-03 03:38:59,-20.2333,164.0167,81.19,70,0,0.94
140,Port Elizabeth,ZA,2022-02-03 03:39:00,-33.918,25.5701,71.1,88,40,12.66
141,Cherskiy,RU,2022-02-03 03:39:00,68.75,161.3,-19.46,82,82,2.98
142,Kushima,JP,2022-02-03 03:39:00,31.4583,131.2333,44.64,86,100,4.72
143,Chokurdakh,RU,2022-02-03 03:39:01,70.6333,147.9167,-23.35,98,68,6.58
144,Jand,PK,2022-02-03 03:39:01,33.4299,72.0193,52.02,66,66,4.27
145,Sitka,US,2022-02-03 03:35:16,57.0531,-135.33,37.29,93,100,4.61
146,Carnarvon,AU,2022-02-03 03:39:01,-24.8667,113.6333,91.47,55,3,8.05
147,Meulaboh,ID,2022-02-03 03:39:02,4.1363,96.1285,84.85,65,24,3.09
148,Comodoro Rivadavia,AR,2022-02-03 03:39:02,-45.8667,-67.5,73.26,35,0,12.66
149,Mayor Pablo Lagerenza,PY,2022-02-03 03:39:03,-19.9309,-60.7718,80.76,53,27,5.75
150,Atuona,PF,2022-02-03 03:39:03,-9.8,-139.0333,78.71,75,100,17.58
151,Bredasdorp,ZA,2022-02-03 03:39:03,-34.5322,20.0403,62.28,82,0,6.53
152,Padang,ID,2022-02-03 03:39:03,-0.9492,100.3543,80.65,67,76,3.85
153,Esperance,AU,2022-02-03 03:39:04,-33.8667,121.9,78.64,47,8,16.87
154,Baruun-Urt,MN,2022-02-03 03:39:04,46.6806,113.2792,0.07,76,16,5.77
155,Tiksi,RU,2022-02-03 03:39:05,71.6872,128.8694,-2.47,91,100,9.8
156,Rock Sound,BS,2022-02-03 03:39:05,24.9,-76.2,73.15,64,4,18.52
157,Salalah,OM,2022-02-03 03:39:05,17.0151,54.0924,75.29,23,0,6.91
158,Belomorsk,RU,2022-02-03 03:39:06,64.5232,34.7668,11.35,97,99,3.91
159,Jati,PK,2022-02-03 03:39:06,24.3539,68.2671,68.11,20,3,8.5
160,Cayenne,GF,2022-02-03 03:39:06,4.9333,-52.3333,79.09,87,75,1.99
161,Hastiere,BE,2022-02-03 03:39:07,50.2167,4.8167,45.09,92,100,16.11
162,Alice Springs,AU,2022-02-03 03:34:27,-23.7,133.8833,72.95,60,100,13.8
163,Cairns,AU,2022-02-03 03:39:07,-16.9167,145.7667,93.15,62,75,12.66
164,Hithadhoo,MV,2022-02-03 03:39:07,-0.6,73.0833,81.59,70,6,4.07
165,Kjollefjord,NO,2022-02-03 03:39:08,70.9457,27.3465,17.42,86,0,8.05
166,Alta Floresta,BR,2022-02-03 03:39:08,-9.8756,-56.0861,71.17,95,78,1.63
167,Kloulklubed,PW,2022-02-03 03:39:09,7.0419,134.2556,84.7,75,100,18.39
168,Junin,AR,2022-02-03 03:39:09,-34.5838,-60.9433,67.28,93,100,9.48
169,Kapoeta,SS,2022-02-03 03:39:09,4.7717,33.5903,83.5,33,100,5.39
170,Mackenzie,CA,2022-02-03 03:39:09,55.2999,-123.1698,3.42,92,100,0.0
