City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Lavrentiya,RU,65.5833,-171.0,-4.54,73,0,6.67,clear sky
261,Olinda,BR,-8.0089,-34.8553,82.13,65,40,8.05,scattered clouds
262,Inta,RU,66.0317,60.1659,5.27,97,99,7.23,overcast clouds
263,Ancud,CL,-41.8697,-73.8203,63.93,74,83,4.38,broken clouds
264,Chuy,UY,-33.6971,-53.4616,70.86,91,12,7.16,few clouds
265,Tanda,IN,26.55,82.65,49.62,92,3,3.22,clear sky
266,Rock Sound,BS,24.9,-76.2,74.75,60,26,10.0,scattered clouds
267,Raga,SS,8.4596,25.678,75.38,17,100,9.66,overcast clouds
268,Avera,US,33.194,-82.5271,62.11,88,100,12.35,light rain
269,Te Karaka,NZ,-38.4654,177.8679,82.36,48,8,5.7,clear sky
270,Mahebourg,MU,-20.4081,57.7,79.25,89,75,16.11,broken clouds
271,Tautira,PF,-17.7333,-149.15,80.62,77,21,15.9,light rain
272,Samana,DO,19.2056,-69.3369,78.76,85,32,9.93,scattered clouds
273,Sumbe,AO,-11.2061,13.8437,75.83,78,100,8.79,overcast clouds
274,Phalodi,IN,27.1333,72.3667,58.96,17,0,7.94,clear sky
275,Mamburao,PH,13.25,120.6667,75.7,86,98,9.93,overcast clouds
276,Porto Novo,BJ,6.4965,2.6036,82.22,82,2,5.75,clear sky
277,Hasaki,JP,35.7333,140.8333,36.0,40,45,25.01,scattered clouds
278,Obo,CF,5.3998,26.4869,74.89,25,98,3.02,overcast clouds
279,Chifeng,CN,42.2683,118.9636,4.89,59,0,8.68,clear sky
280,Port Augusta,AU,-32.5,137.7667,79.7,26,57,8.25,broken clouds
281,Bend,US,44.0582,-121.3153,52.47,37,100,1.99,overcast clouds
282,Balaipungut,ID,1.05,101.2833,71.89,98,92,0.81,light rain
283,Minas,UY,-34.3759,-55.2377,72.07,87,68,7.78,broken clouds
284,Lazaro Cardenas,MX,17.9583,-102.2,79.38,61,6,6.4,clear sky
285,Ginir,ET,7.1333,40.7,58.57,23,2,4.29,clear sky
286,Keetmanshoop,NA,-26.5833,18.1333,79.47,39,62,9.06,broken clouds
287,Sinnamary,GF,5.3833,-52.95,76.14,88,100,8.57,overcast clouds
288,Benito Juarez,MX,19.385,-99.165,73.22,24,40,8.01,scattered clouds
289,College,US,64.8569,-147.8028,6.8,61,75,0.0,broken clouds
290,Itamaraju,BR,-17.0392,-39.5311,74.43,93,100,3.31,overcast clouds
291,Bronnoysund,NO,65.4625,12.1997,37.4,52,75,25.32,broken clouds
292,Kirakira,SB,-10.4544,161.9205,83.17,80,100,6.24,overcast clouds
293,Yumen,CN,40.2833,97.2,14.83,38,100,12.59,overcast clouds
294,Todos Santos,MX,23.45,-110.2167,74.1,58,0,6.42,clear sky
295,Kananga,CD,-5.8958,22.4178,67.62,89,100,2.57,overcast clouds
296,Muravlenko,RU,63.7898,74.523,6.71,97,92,13.89,overcast clouds
297,Collie,AU,-33.3667,116.15,77.0,28,0,3.53,clear sky
298,Rosarito,MX,32.3333,-117.0333,72.28,20,2,19.57,clear sky
299,Cururupu,BR,-1.8283,-44.8683,75.49,92,98,2.53,overcast clouds
300,Qingdao,CN,36.0986,120.3719,20.8,49,0,11.18,clear sky
301,Xifeng,CN,42.7372,124.7222,2.41,75,1,7.16,clear sky
302,Eureka,US,40.8021,-124.1637,55.2,80,98,5.01,overcast clouds
303,Maturin,VE,9.75,-63.1767,78.28,55,1,9.6,clear sky
304,Okhotsk,RU,59.3833,143.3,-1.79,72,91,15.52,overcast clouds
305,Tilichiki,RU,60.4667,166.1,-7.29,82,97,8.99,overcast clouds
306,Basna,IN,21.2833,82.8167,55.74,35,3,1.05,clear sky
307,Tessalit,ML,20.1986,1.0114,60.89,14,0,10.58,clear sky
308,Danville,US,36.586,-79.395,63.03,80,100,10.36,overcast clouds
309,Hobyo,SO,5.3505,48.5268,75.69,71,15,15.32,few clouds
310,Antofagasta,CL,-23.65,-70.4,67.28,72,5,9.33,clear sky
311,Livingstonia,MW,-10.606,34.1063,63.41,79,100,3.94,overcast clouds
312,Codrington,AU,-38.2667,141.9667,66.02,61,90,14.38,overcast clouds
313,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.43,70,22,9.71,few clouds
314,Sidrolandia,BR,-20.9319,-54.9614,81.39,88,60,4.0,broken clouds
315,Lagoa,PT,39.05,-27.9833,57.65,84,70,19.89,broken clouds
316,Atkarsk,RU,51.8718,45.0078,13.77,97,99,7.14,overcast clouds
317,Baoding,CN,38.8511,115.4903,20.03,37,4,2.46,clear sky
318,Huntsville,US,34.7304,-86.5861,33.93,88,100,4.0,overcast clouds
319,Katsuura,JP,35.1333,140.3,37.51,52,48,16.2,scattered clouds
320,Shenzhen,CN,22.5455,114.0683,58.14,87,76,7.72,broken clouds
321,Beterou,BJ,9.1992,2.2586,75.94,17,0,5.5,clear sky
322,Acapulco,MX,16.8634,-99.8901,80.4,62,0,6.42,clear sky
323,Mackenzie,CA,55.2999,-123.1698,35.82,87,40,18.41,scattered clouds
324,Changping,CN,40.2186,116.2197,20.84,42,0,6.11,clear sky
325,Ostrovnoy,RU,68.0531,39.5131,8.71,91,100,16.49,overcast clouds
326,Atakpame,TG,7.5333,1.1333,76.84,68,16,4.41,few clouds
327,Mount Pleasant,US,32.7941,-79.8626,67.08,96,100,1.99,overcast clouds
328,Te Anau,NZ,-45.4167,167.7167,55.54,52,24,3.98,few clouds
329,Sheregesh,RU,52.9209,87.9869,-0.33,99,72,2.57,broken clouds
330,Sabang,ID,5.8933,95.3214,81.84,74,88,14.88,overcast clouds
331,Iracoubo,GF,5.4802,-53.2011,76.01,88,100,8.25,overcast clouds
332,Kiama,AU,-34.6833,150.8667,69.39,73,91,14.05,light rain
333,Shache,CN,38.4167,77.2406,22.91,48,43,3.71,scattered clouds
334,Gornopravdinsk,RU,60.05,69.9,16.92,98,100,1.95,overcast clouds
335,Hami,CN,42.8,93.45,22.93,36,85,2.84,overcast clouds
336,San Jose,US,37.3394,-121.895,68.76,36,0,5.99,clear sky
337,Colomiers,FR,43.6167,1.35,52.29,93,100,5.75,overcast clouds
338,Grand Gaube,MU,-20.0064,57.6608,79.38,82,100,8.01,overcast clouds
339,Barcelos,PT,41.5388,-8.6151,50.85,86,81,4.63,broken clouds
340,Phalaborwa,ZA,-23.943,31.1411,71.83,86,15,13.06,few clouds
341,Georgetown,MY,5.4112,100.3354,78.73,95,40,1.99,scattered clouds
342,Amboise,FR,47.4125,0.9827,36.14,100,0,3.44,clear sky
343,Tanout,NE,14.9709,8.8879,56.53,19,0,13.29,clear sky
344,Plettenberg Bay,ZA,-34.0527,23.3716,64.69,74,97,8.03,overcast clouds
345,Ailigandi,PA,9.2333,-78.0167,79.77,84,72,12.75,broken clouds
346,Banda Aceh,ID,5.5577,95.3222,77.79,81,91,8.43,overcast clouds
347,Donghai,CN,22.9459,115.642,51.94,74,100,5.82,overcast clouds
348,Beringovskiy,RU,63.05,179.3167,-8.88,87,92,11.74,overcast clouds
